name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Meru,15491,Valid,Stony,Ordinary,LL6,6000,Fell,1945-01-01,0,37.66667,"(0.000000, 37.666670)"
Rumuruti,22782,Valid,Stony,No Class,R3.8-6,67,Fell,1934-01-01,0.26667,36.53333,"(0.266670, 36.533330)"
Ipitinga,12044,Valid,Stony,Ordinary,H5,7000,Found,1989-01-01,0.35,-53.81667,"(0.350000, -53.816670)"
Yambo,30345,Valid,Stony,Ordinary,H5,4,Fell,1951-01-01,1,22.5,"(1.000000, 22.500000)"
Thika,54493,Valid,Stony,Ordinary,L6,14200,Fell,2011-01-01,-1.00278,37.15028,"(-1.002780, 37.150280)"
Mbale,15455,Valid,Stony,Ordinary,L5/6,150000,Fell,1992-01-01,1.06667,34.16667,"(1.066670, 34.166670)"
Maziba,15454,Valid,Stony,Ordinary,L6,4975,Fell,1942-01-01,-1.21667,30,"(-1.216670, 30.000000)"
Hoima,44714,Valid,Stony,Ordinary,H6,167.7,Fell,2003-01-01,1.345,31.47278,"(1.345000, 31.472780)"
Ruhobobo,22780,Valid,Stony,Ordinary,L6,465.5,Fell,1976-01-01,-1.45,29.83333,"(-1.450000, 29.833330)"
Soroti,23671,Valid,Iron,Achondrites,"Iron, ungrouped",2050,Fell,1945-01-01,1.7,33.63333,"(1.700000, 33.633330)"
Daule,51559,Valid,Stony,Ordinary,L5,6580,Fell,2008-01-01,-1.87089,-79.95756,"(-1.870890, -79.957560)"
Bununu,5165,Valid,Stony,Achondrites,Howardite,357,Fell,1942-01-01,10.01667,9.58333,"(10.016670, 9.583330)"
Chisenga,5355,Valid,Iron,Achondrites,"Iron, IIIAB",3920,Fell,1988-01-01,-10.05944,33.395,"(-10.059440, 33.395000)"
Cranganore,5465,Valid,Stony,Ordinary,L6,1460,Fell,1917-01-01,10.2,76.26667,"(10.200000, 76.266670)"
Rupota,22783,Valid,Stony,Ordinary,L4-6,6000,Fell,1949-01-01,-10.26667,38.76667,"(-10.266670, 38.766670)"
Bouri,47701,Valid,Stony,Ordinary,H4,9100,Found,1996-01-01,10.26667,40.56667,"(10.266670, 40.566670)"
Kuttippuram,12384,Valid,Stony,Ordinary,L6,45000,Fell,1914-01-01,10.83333,76.03333,"(10.833330, 76.033330)"
Ucera,24097,Valid,Stony,Ordinary,H5,4590,Fell,1970-01-01,11.05,-69.85,"(11.050000, -69.850000)"
Bawku,4976,Valid,Stony,Ordinary,LL5,1557,Fell,1989-01-01,11.08333,-0.18333,"(11.083330, -0.183330)"
Katagum,35465,Valid,Stony,Ordinary,L6,1500,Fell,1999-01-01,11.33333,10.08333,"(11.333330, 10.083330)"
P?,18179,Valid,Stony,Ordinary,L6,,Fell,1989-01-01,11.33367,-3.54217,"(11.333670, -3.542170)"
Massenya,15442,Valid,Stony,Ordinary,H5,612.4,Found,1958-01-01,11.35,16.15,"(11.350000, 16.150000)"
Gujba,11449,Valid,Stony,Carbonaceous,CBa,100000,Fell,1984-01-01,11.49167,11.65833,"(11.491670, 11.658330)"
Mtola,16820,Valid,Stony,Unclassified,Stone-uncl,1100,Fell,1944-01-01,-11.5,33.5,"(-11.500000, 33.500000)"
Kingai,12316,Valid,Stony,Ordinary,H6,67.4,Fell,1967-01-01,11.63333,24.68333,"(11.633330, 24.683330)"
Gao-Guenie (b),10855,Valid,Stony,Carbonaceous,CR,344,Found,2002-01-01,11.65,-2.18333,"(11.650000, -2.183330)"
Gao-Guenie,10854,Valid,Stony,Ordinary,H5,,Fell,1960-01-01,11.65,-2.18333,"(11.650000, -2.183330)"
B?r?ba,5028,Valid,Stony,Achondrites,Eucrite-mmict,18000,Fell,1924-01-01,11.65,-3.65,"(11.650000, -3.650000)"
Clipperton,5382,Valid,Stony,Ordinary,H3.5,277,Found,1986-01-01,11.7,-137.8,"(11.700000, -137.800000)"
Zagami,30386,Valid,Stony,Achondrites,Martian (shergottite),18000,Fell,1962-01-01,11.73333,7.08333,"(11.733330, 7.083330)"
Calivo,5200,Valid,Stony,Unclassified,Stone-uncl,2400,Fell,1916-01-01,11.75,122.33333,"(11.750000, 122.333330)"
Jolomba,12199,Valid,Stony,Ordinary,LL6,483,Fell,1974-01-01,-11.85,15.83333,"(-11.850000, 15.833330)"
Kabo,12220,Valid,Stony,Ordinary,H4,13400,Fell,1971-01-01,11.85,8.21667,"(11.850000, 8.216670)"
Valdavur,24144,Valid,Stony,Ordinary,H6,2799,Fell,1944-01-01,11.98333,79.75,"(11.983330, 79.750000)"
Nadiabondi,16889,Valid,Stony,Ordinary,H5,8165,Fell,1956-01-01,12,1,"(12.000000, 1.000000)"
Phum Sambo,18811,Valid,Stony,Ordinary,H4,7800,Fell,1933-01-01,12,105.48333,"(12.000000, 105.483330)"
Gove,52859,Relict,Iron,Unclassified,Relict iron,0,Found,1979-01-01,-12.26333,136.83833,"(-12.263330, 136.838330)"
Bilanga,5045,Valid,Stony,Achondrites,Diogenite,25000,Fell,1999-01-01,12.45,-0.08333,"(12.450000, -0.083330)"
Bogou,5097,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",8800,Fell,1962-01-01,12.5,0.7,"(12.500000, 0.700000)"
Clarion,5372,Valid,Stony,Ordinary,H4,20,Found,1986-01-01,12.5,-137.7,"(12.500000, -137.700000)"
Sulagiri,48951,Valid,Stony,Ordinary,LL6,110000,Fell,2008-01-01,12.66667,78.03333,"(12.666670, 78.033330)"
Djermaia,7656,Valid,Stony,Ordinary,H,3950,Fell,1961-01-01,12.73333,15.05,"(12.733330, 15.050000)"
Kilabo,12307,Valid,Stony,Ordinary,LL6,19000,Fell,2002-01-01,12.76667,9.8,"(12.766670, 9.800000)"
Maigatari-Danduma,30751,Valid,Stony,Ordinary,H5/6,4629,Fell,2004-01-01,12.83333,9.38333,"(12.833330, 9.383330)"
Gashua,44882,Valid,Stony,Ordinary,L6,4162,Fell,1984-01-01,12.85,11.03333,"(12.850000, 11.033330)"
Ouadangou,56729,Valid,Stony,Ordinary,L5,4440,Fell,2003-01-01,12.9,0.08,"(12.900000, 0.080000)"
Karewar,12260,Valid,Stony,Ordinary,L6,180,Fell,1949-01-01,12.9,7.15,"(12.900000, 7.150000)"
Geidam,10870,Valid,Stony,Ordinary,H5,725,Fell,1950-01-01,12.91667,11.91667,"(12.916670, 11.916670)"
Kota-Kota,12351,Valid,Stony,Enstatite,EH3,334,Found,1905-01-01,-13.01667,34.2,"(-13.016670, 34.200000)"
Dosso,7722,Valid,Stony,Ordinary,L6,1250,Fell,1962-01-01,13.05,3.16667,"(13.050000, 3.166670)"
Goronyo,34019,Valid,Stony,Ordinary,H4,11000,Found,2001-01-01,13.26667,5.4,"(13.266670, 5.400000)"
Umm Ruaba,24118,Valid,Stony,Ordinary,L5,1700,Fell,1966-01-01,13.46667,31.21667,"(13.466670, 31.216670)"
Guibga,11442,Valid,Stony,Ordinary,L5,288,Fell,1972-01-01,13.5,-0.68333,"(13.500000, -0.683330)"
Bondoc,5103,Valid,Stony-Iron,Achondrites,Mesosiderite-B4,888600,Found,1956-01-01,13.51667,122.45,"(13.516670, 122.450000)"
Tirupati,24009,Valid,Stony,Ordinary,H6,230,Fell,1934-01-01,13.63333,79.41667,"(13.633330, 79.416670)"
Al Zarnkh,447,Valid,Stony,Ordinary,LL5,700,Fell,2001-01-01,13.66033,28.96,"(13.660330, 28.960000)"
Dowa,7725,Valid,Stony,Unclassified,Stone-uncl,642,Fell,1976-01-01,-13.66667,33.91667,"(-13.666670, 33.916670)"
Yafa,24351,Valid,Stony,Ordinary,H5,5700,Fell,2000-01-01,13.71111,45.17,"(13.711110, 45.170000)"
Nakhon Pathom,16899,Valid,Stony,Ordinary,L6,23200,Fell,1923-01-01,13.73333,100.08333,"(13.733330, 100.083330)"
Birni N'konni,5056,Valid,Stony,Ordinary,H4,560,Fell,1923-01-01,13.76667,5.3,"(13.766670, 5.300000)"
N'Goureyma,16968,Valid,Iron,Achondrites,"Iron, ungrouped",37500,Fell,1900-01-01,13.85,-4.38333,"(13.850000, -4.383330)"
Kidairat,12300,Valid,Stony,Ordinary,H6,100000,Fell,1983-01-01,14,28,"(14.000000, 28.000000)"
P?t?lkol?,18800,Valid,Stony,Ordinary,H5,189,Fell,1995-01-01,14.052,0.42,"(14.052000, 0.420000)"
Gasseltepaoua,10866,Valid,Stony,Ordinary,H5,,Fell,2000-01-01,14.15083,-2.04167,"(14.150830, -2.041670)"
Kamsagar,12241,Valid,Stony,Ordinary,L6,1293,Fell,1902-01-01,14.18333,75.8,"(14.183330, 75.800000)"
Maromandia,15430,Valid,Stony,Ordinary,L6,6000,Fell,2002-01-01,-14.2,48.1,"(-14.200000, 48.100000)"
Tillaberi,23999,Valid,Stony,Ordinary,L6,3000,Fell,1970-01-01,14.25,1.53333,"(14.250000, 1.533330)"
Campinorte,52093,Valid,Iron,Achondrites,"Iron, ungrouped",2000000,Found,1992-01-01,-14.258,-49.15917,"(-14.258000, -49.159170)"
Chinautla,5352,Valid,Iron,Achondrites,"Iron, IVA-an",5720,Found,1902-01-01,14.5,-90.5,"(14.500000, -90.500000)"
Cerro La Tiza,44877,Valid,Stony,Ordinary,H4,3740,Found,2002-01-01,-14.53321,-75.77511,"(-14.533210, -75.775110)"
Kaidun,12228,Valid,Stony,Carbonaceous,CR2,2000,Fell,1980-01-01,15,48.3,"(15.000000, 48.300000)"
Machinga,15371,Valid,Stony,Ordinary,L6,93200,Fell,1981-01-01,-15.21222,35.24222,"(-15.212220, 35.242220)"
New Halfa,16954,Valid,Stony,Ordinary,L4,12000,Fell,1994-01-01,15.36667,35.68333,"(15.366670, 35.683330)"
Itapuranga,12057,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",628000,Found,,-15.58333,-50.15,"(-15.583330, -50.150000)"
Phuoc-Binh,18812,Valid,Stony,Ordinary,L5,11000,Fell,1941-01-01,15.71667,108.1,"(15.716670, 108.100000)"
Bassikounou,44876,Valid,Stony,Ordinary,H5,29560,Fell,2006-01-01,15.78333,-5.9,"(15.783330, -5.900000)"
Monze,16733,Valid,Stony,Ordinary,L6,,Fell,1950-01-01,-15.96667,27.35,"(-15.966670, 27.350000)"
Khor Temiki,12299,Valid,Stony,Achondrites,Aubrite,3200,Fell,1932-01-01,16,36,"(16.000000, 36.000000)"
Aioun el Atrouss,423,Valid,Stony,Achondrites,Diogenite-pm,1000,Fell,1974-01-01,16.39806,-9.57028,"(16.398060, -9.570280)"
Kiffa,12303,Valid,Stony,Ordinary,H5,1500,Fell,1970-01-01,16.58333,-11.33333,"(16.583330, -11.333330)"
Carancas,45817,Valid,Stony,Ordinary,H4-5,342,Fell,2007-01-01,-16.66444,-69.04389,"(-16.664440, -69.043890)"
Ban Rong Du,4934,Valid,Iron,Achondrites,"Iron, ungrouped",16700,Fell,1993-01-01,16.66667,101.18333,"(16.666670, 101.183330)"
Vissannapeta,24188,Valid,Stony,Achondrites,Eucrite-cm,1303.8,Fell,1997-01-01,16.83333,80.75,"(16.833330, 80.750000)"
Acapulco,10,Valid,Stony,Primitive Achondrites,Acapulcoite,1914,Fell,1976-01-01,16.88333,-99.9,"(16.883330, -99.900000)"
Mafuta,15384,Valid,Iron,Achondrites,"Iron, IID",71500,Found,1984-01-01,-16.9025,30.40722,"(-16.902500, 30.407220)"
Bocaiuva,5092,Valid,Iron,Achondrites,"Iron, ungrouped",64000,Found,1965-01-01,-17.16667,-43.83333,"(-17.166670, -43.833330)"
Boumdeid (2011),57167,Valid,Stony,Ordinary,L6,3599,Fell,2011-01-01,17.17493,-11.34133,"(17.174930, -11.341330)"
Ehole,7774,Valid,Stony,Ordinary,H5,2400,Fell,1961-01-01,-17.3,15.83333,"(-17.300000, 15.833330)"
Chitado,5356,Valid,Stony,Ordinary,L6,,Fell,1966-01-01,-17.35,13.96667,"(-17.350000, 13.966670)"
Mangwendi,15405,Valid,Stony,Ordinary,LL6,22300,Fell,1934-01-01,-17.65,31.6,"(-17.650000, 31.600000)"
Adrar Yaouelt,387,Valid,Stony,Ordinary,H5,2730,Found,2002-01-01,17.67987,10.03503,"(17.679870, 10.035030)"
Boumdeid (2003),57168,Valid,Stony,Ordinary,L6,190,Fell,2003-01-01,17.71067,-11.3715,"(17.710670, -11.371500)"
Paitan,18072,Valid,Stony,Ordinary,H6,515,Fell,1910-01-01,17.74333,120.45583,"(17.743330, 120.455830)"
Aybut 001,4912,Valid,Stony,Ordinary,H6,442.26,Found,2002-01-01,17.75793,53.99032,"(17.757930, 53.990320)"
Chiang Khan,5345,Valid,Stony,Ordinary,H6,367,Fell,1981-01-01,17.9,101.63333,"(17.900000, 101.633330)"
Ovambo,18055,Valid,Stony,Ordinary,L6,121.5,Fell,1900-01-01,-18,16,"(-18.000000, 16.000000)"
Dhofar 274,7057,Valid,Stony,Ordinary,L6,2475,Found,2001-01-01,18.06333,54.05,"(18.063330, 54.050000)"
Dhofar 028,6727,Valid,Stony,Ordinary,H5-6,34,Found,1999-01-01,18.07583,54.06717,"(18.075830, 54.067170)"
Dhofar 1687,56193,Valid,Stony,Ordinary,L6,394.6,Found,2011-01-01,18.0901,54.08788,"(18.090100, 54.087880)"
Dhofar 286,7069,Valid,Stony,Ordinary,L6,1453,Found,2001-01-01,18.12667,54.115,"(18.126670, 54.115000)"
Dhofar 006,6705,Valid,Stony,Ordinary,L5,364.5,Found,1999-01-01,18.13167,54.10833,"(18.131670, 54.108330)"
Dhofar 509,7270,Valid,Stony,Ordinary,L6,238,Found,2000-01-01,18.14,54.07,"(18.140000, 54.070000)"
Dhofar 219,7003,Valid,Stony,Ordinary,H5,99,Found,2001-01-01,18.14,54.16167,"(18.140000, 54.161670)"
Dhofar 331,7114,Valid,Stony,Ordinary,H5,946,Found,2000-01-01,18.14167,54.08667,"(18.141670, 54.086670)"
Dhofar 1113,30503,Valid,Stony,Ordinary,H3,702,Found,2004-01-01,18.14217,54.09683,"(18.142170, 54.096830)"
Dhofar 021,6720,Valid,Stony,Ordinary,H5/6,2534,Found,2000-01-01,18.15333,54.17833,"(18.153330, 54.178330)"
Dhofar 1088,33792,Valid,Stony,Ordinary,L~6,470,Found,2004-01-01,18.15363,54.10562,"(18.153630, 54.105620)"
Dhofar 496,7257,Valid,Stony,Ordinary,L4,354,Found,2000-01-01,18.155,54.11167,"(18.155000, 54.111670)"
Dhofar 111,6896,Valid,Stony,Ordinary,L5,114,Found,2000-01-01,18.1575,54.09333,"(18.157500, 54.093330)"
Dhofar 378,7160,Valid,Stony,Achondrites,Martian (shergottite),15,Found,2000-01-01,18.15833,54.11333,"(18.158330, 54.113330)"
Dhofar 1505,53794,Valid,Stony,Ordinary,L~6,222.2,Found,2009-01-01,18.15897,54.26892,"(18.158970, 54.268920)"
Dhofar 017,6716,Valid,Stony,Ordinary,H4,1736,Found,2000-01-01,18.16,54.13833,"(18.160000, 54.138330)"
Dhofar 1506,53795,Valid,Stony,Ordinary,L~6,362.2,Found,2009-01-01,18.1603,54.17717,"(18.160300, 54.177170)"
Dhofar 864,7610,Valid,Stony,Ordinary,L6,1233,Found,2002-01-01,18.16333,54.16,"(18.163330, 54.160000)"
Dhofar 1624,54597,Valid,Stony,Ordinary,H-melt rock,621,Found,2009-01-01,18.16358,54.27542,"(18.163580, 54.275420)"
Dhofar 001,6700,Valid,Stony,Ordinary,L6,46,Found,1999-01-01,18.165,54.08333,"(18.165000, 54.083330)"
Dhofar 1296,34512,Valid,Stony,Ordinary,L5,48,Found,2002-01-01,18.16667,54.08333,"(18.166670, 54.083330)"
Dhofar 002,6701,Valid,Stony,Ordinary,L5,36,Found,1999-01-01,18.16667,54.085,"(18.166670, 54.085000)"
Dhofar 005,6704,Valid,Stony,Ordinary,L6,125500,Found,2000-01-01,18.16667,54.16667,"(18.166670, 54.166670)"
Dhofar 1542,52416,Valid,Stony,Ordinary,L6,500,Found,2008-01-01,18.17417,54.28133,"(18.174170, 54.281330)"
Dhofar 298,7081,Valid,Stony,Ordinary,H6,677,Found,2001-01-01,18.17667,54.26333,"(18.176670, 54.263330)"
Dhofar 112,6897,Valid,Stony,Ordinary,L6,201,Found,2000-01-01,18.178,54.10467,"(18.178000, 54.104670)"
Dhofar 533,7294,Valid,Stony,Ordinary,L6,308,Found,2000-01-01,18.17833,54.18167,"(18.178330, 54.181670)"
Dhofar 808,7554,Valid,Stony,Ordinary,L6,2.5,Found,2001-01-01,18.17998,54.20367,"(18.179980, 54.203670)"
Dhofar 318,7101,Valid,Stony,Ordinary,L6,522,Found,2001-01-01,18.18,54.175,"(18.180000, 54.175000)"
Dhofar 849,7595,Valid,Stony,Ordinary,L6,146,Found,2001-01-01,18.18167,54.09667,"(18.181670, 54.096670)"
Dhofar 203,6987,Valid,Stony,Ordinary,H4,274,Found,2000-01-01,18.18333,54.12333,"(18.183330, 54.123330)"
Dhofar 196,6980,Valid,Stony,Ordinary,L6,584,Found,1999-01-01,18.18333,54.145,"(18.183330, 54.145000)"
Dhofar 1534,52403,Valid,Stony,Ordinary,H4,3045,Found,2006-01-01,18.18467,54.58917,"(18.184670, 54.589170)"
Dhofar 1688,56194,Valid,Stony,Ordinary,L5,52.5,Found,2011-01-01,18.18535,54.269,"(18.185350, 54.269000)"
Dhofar 1689,56195,Valid,Stony,Ordinary,H5,22.3,Found,2011-01-01,18.188,54.2698,"(18.188000, 54.269800)"
Dhofar 539,7300,Valid,Stony,Ordinary,H5,102,Found,2001-01-01,18.18833,54.16667,"(18.188330, 54.166670)"
Dhofar 113,6898,Valid,Stony,Ordinary,L6,356,Found,2000-01-01,18.1915,54.1125,"(18.191500, 54.112500)"
Dhofar 642,7399,Valid,Stony,Ordinary,L6,135,Found,2001-01-01,18.19282,53.80802,"(18.192820, 53.808020)"
Dhofar 003,6702,Valid,Stony,Ordinary,H4,65,Found,1999-01-01,18.20167,54.13667,"(18.201670, 54.136670)"
Dhofar 848,7594,Valid,Stony,Ordinary,L5,162,Found,2001-01-01,18.20167,54.28,"(18.201670, 54.280000)"
Dhofar 1479,48956,Valid,Stony,Ordinary,H5/6,132,Found,2003-01-01,18.2025,54.05167,"(18.202500, 54.051670)"
Dhofar 1690,56196,Valid,Stony,Ordinary,H5,700.5,Found,2011-01-01,18.20358,54.29502,"(18.203580, 54.295020)"
Dhofar 1222,31358,Valid,Stony,Primitive Achondrites,Acapulcoite,93,Found,2003-01-01,18.20417,54.05667,"(18.204170, 54.056670)"
Dhofar 1529,53880,Valid,Stony,Ordinary,H3.2,175,Found,2006-01-01,18.205,54.29783,"(18.205000, 54.297830)"
Dhofar 939,30520,Valid,Stony,Ordinary,H5,508,Found,2002-01-01,18.20833,54.12,"(18.208330, 54.120000)"
Dhofar 1691,56197,Valid,Stony,Ordinary,H5-6,105.5,Found,2011-01-01,18.21135,54.2995,"(18.211350, 54.299500)"
Dhofar 188,6972,Valid,Stony,Ordinary,H4,234,Found,2000-01-01,18.21167,54.14833,"(18.211670, 54.148330)"
Areshima,2330,Valid,Stony,Ordinary,LL3.7,114.3,Found,1999-01-01,18.21233,10.17767,"(18.212330, 10.177670)"
Dhofar 323,7106,Valid,Stony,Ordinary,H5,688,Found,2001-01-01,18.21833,54.10667,"(18.218330, 54.106670)"
Dhofar 1530,52399,Valid,Stony,Ordinary,H6,2118,Found,2006-01-01,18.21917,54.31533,"(18.219170, 54.315330)"
Dhofar 1531,52400,Valid,Stony,Ordinary,L6,2100,Found,2006-01-01,18.21917,54.31533,"(18.219170, 54.315330)"
Dhofar 1281,34500,Valid,Stony,Ordinary,L6,140,Found,2005-01-01,18.21947,54.30514,"(18.219470, 54.305140)"
Dhofar 399,7181,Valid,Stony,Ordinary,L6,283,Found,2001-01-01,18.2209,54.70118,"(18.220900, 54.701180)"
Dhofar 858,7604,Valid,Stony,Ordinary,H3.9,88,Found,2001-01-01,18.22167,54.1,"(18.221670, 54.100000)"
Dhofar 1543,52417,Valid,Stony,Ordinary,H4,1734,Found,2008-01-01,18.222,54.31783,"(18.222000, 54.317830)"
Dhofar 1504,53793,Valid,Stony,Ordinary,L~5,208.2,Found,2009-01-01,18.2238,54.2463,"(18.223800, 54.246300)"
Dhofar 026,6725,Valid,Stony,Achondrites,Lunar (anorth),148,Found,2000-01-01,18.22667,54.11167,"(18.226670, 54.111670)"
Dhofar 1221,30512,Valid,Stony,Ordinary,H5,58,Found,2003-01-01,18.23083,54.09,"(18.230830, 54.090000)"
Dhofar 206,6990,Valid,Stony,Ordinary,L3.7,190,Found,2000-01-01,18.23833,54.135,"(18.238330, 54.135000)"
Dhofar 525,7286,Valid,Stony,Ordinary,L5,50,Found,2000-01-01,18.23833,54.13667,"(18.238330, 54.136670)"
Dhofar 522,7283,Valid,Stony,Ordinary,H4,186,Found,2000-01-01,18.24,54.16833,"(18.240000, 54.168330)"
Dhofar 1566,51571,Valid,Stony,Ordinary,LL5-6,605,Found,2008-01-01,18.24233,54.1065,"(18.242330, 54.106500)"
Dhofar 852,7598,Valid,Stony,Ordinary,H4,122,Found,2001-01-01,18.24333,54.135,"(18.243330, 54.135000)"
Dhofar 014,6713,Valid,Stony,Ordinary,LL7,414,Found,2000-01-01,18.24333,54.14167,"(18.243330, 54.141670)"
Dhofar 461,30420,Valid,Stony,Achondrites,Lunar (anorth),33.7,Found,2001-01-01,18.2447,53.9978,"(18.244700, 53.997800)"
Dhofar 770,7516,Valid,Stony,Ordinary,H5/6,376,Found,2000-01-01,18.245,54.40912,"(18.245000, 54.409120)"
Dhofar 462,30421,Valid,Stony,Achondrites,Lunar (anorth),44.7,Found,2001-01-01,18.24667,54.00188,"(18.246670, 54.001880)"
Dhofar 463,30422,Valid,Stony,Achondrites,Lunar (anorth),24.3,Found,2001-01-01,18.2468,54.00242,"(18.246800, 54.002420)"
Dhofar 466,30425,Valid,Stony,Achondrites,Lunar (anorth),69.2,Found,2001-01-01,18.2469,53.9962,"(18.246900, 53.996200)"
Dhofar 465,30424,Valid,Stony,Achondrites,Lunar (anorth),70.7,Found,2001-01-01,18.24722,54.00628,"(18.247220, 54.006280)"
Dhofar 291,7074,Valid,Stony,Ordinary,L5,1164,Found,2000-01-01,18.24833,54.10333,"(18.248330, 54.103330)"
Dhofar 457,30416,Valid,Stony,Achondrites,Lunar (anorth),99.5,Found,2001-01-01,18.24835,54.0016,"(18.248350, 54.001600)"
Dhofar 459,30418,Valid,Stony,Achondrites,Lunar (anorth),31.5,Found,2001-01-01,18.24857,54.00337,"(18.248570, 54.003370)"
Dhofar 458,30417,Valid,Stony,Achondrites,Lunar (anorth),36.7,Found,2001-01-01,18.24862,54.00242,"(18.248620, 54.002420)"
Dhofar 1435,51593,Valid,Stony,Ordinary,H5,11.7,Found,2007-01-01,18.24862,54.00363,"(18.248620, 54.003630)"
Dhofar 460,30419,Valid,Stony,Achondrites,Lunar (anorth),73.1,Found,2001-01-01,18.24942,54.00727,"(18.249420, 54.007270)"
Dhofar 464,30423,Valid,Stony,Achondrites,Lunar (anorth),22.3,Found,2001-01-01,18.2496,53.99437,"(18.249600, 53.994370)"
Dhofar 1279,34498,Valid,Stony,Ordinary,L6,1588,Found,2005-01-01,18.25117,54.19822,"(18.251170, 54.198220)"
Dhofar 221,7005,Valid,Stony,Ordinary,L5,3536,Found,2000-01-01,18.25167,54.19833,"(18.251670, 54.198330)"
Dhofar 714,7470,Valid,Stony,Ordinary,H5,207,Found,2000-01-01,18.25167,54.425,"(18.251670, 54.425000)"
Dhofar 467,30426,Valid,Stony,Achondrites,Lunar (anorth),36.2,Found,2001-01-01,18.25377,54.00077,"(18.253770, 54.000770)"
Dhofar 468,30427,Valid,Stony,Achondrites,Lunar (anorth),18.9,Found,2001-01-01,18.2565,53.99208,"(18.256500, 53.992080)"
Dhofar 211,6995,Valid,Stony,Ordinary,H4,255,Found,2001-01-01,18.25667,54.18167,"(18.256670, 54.181670)"
Dhofar 1675,56312,Valid,Stony,Achondrites,Eucrite-pmict,168,Found,2004-01-01,18.259,54.02947,"(18.259000, 54.029470)"
Dhofar 090,6789,Valid,Stony,Ordinary,H4,690,Found,1999-01-01,18.26117,54.32483,"(18.261170, 54.324830)"
Dhofar 192,6976,Valid,Stony,Ordinary,H4,4779,Found,1999-01-01,18.26167,54.24333,"(18.261670, 54.243330)"
Dhofar 207,6991,Valid,Stony,Ordinary,H3.4/3.5,499.5,Found,1999-01-01,18.26333,54.06833,"(18.263330, 54.068330)"
Dhofar 195,6979,Valid,Stony,Ordinary,H3-5,2384,Found,1999-01-01,18.26333,54.24667,"(18.263330, 54.246670)"
Dhofar 271,7054,Valid,Stony,Ordinary,H4,1335,Found,2000-01-01,18.265,54.045,"(18.265000, 54.045000)"
Dhofar 279,7062,Valid,Stony,Ordinary,L6,1932,Found,2001-01-01,18.265,54.33833,"(18.265000, 54.338330)"
Dhofar 753,7499,Valid,Stony,Ordinary,H3/4,550,Found,2000-01-01,18.26585,54.32107,"(18.265850, 54.321070)"
Dhofar 223,7007,Valid,Stony,Ordinary,H4,1708,Found,2000-01-01,18.26667,54.09667,"(18.266670, 54.096670)"
Dhofar 1539,52406,Valid,Stony,Ordinary,H4,1614,Found,2006-01-01,18.26667,54.425,"(18.266670, 54.425000)"
Dhofar 999,7639,Valid,Stony,Ordinary,H5,20.89,Found,2001-01-01,18.26817,54.15067,"(18.268170, 54.150670)"
Dhofar 332,7115,Valid,Stony,Ordinary,H5,794,Found,2000-01-01,18.26833,54.12167,"(18.268330, 54.121670)"
Dhofar 1565,51570,Valid,Stony,Ordinary,H5,43000,Found,2008-01-01,18.2735,54.21367,"(18.273500, 54.213670)"
Dhofar 746,7492,Valid,Stony,Ordinary,H6,969,Found,2000-01-01,18.27562,54.32182,"(18.275620, 54.321820)"
Dhofar 527,7288,Valid,Stony,Ordinary,H4,172,Found,2001-01-01,18.27667,54.135,"(18.276670, 54.135000)"
Dhofar 1280,34499,Valid,Stony,Ordinary,H6,4473,Found,2005-01-01,18.27717,54.25547,"(18.277170, 54.255470)"
Dhofar 262,7045,Valid,Stony,Ordinary,H6,291.8,Found,2001-01-01,18.27733,54.25533,"(18.277330, 54.255330)"
Dhofar 766,7512,Valid,Stony,Ordinary,H6,152,Found,2000-01-01,18.2776,54.32358,"(18.277600, 54.323580)"
Dhofar 1288,34504,Valid,Stony,Ordinary,H5,43600,Found,2004-01-01,18.27833,54.285,"(18.278330, 54.285000)"
Dhofar 009,6708,Valid,Stony,Ordinary,L6,2102,Found,1999-01-01,18.28167,54.11,"(18.281670, 54.110000)"
Dhofar 1712,56336,Valid,Stony,Ordinary,L6,240,Found,2010-01-01,18.29658,54.14983,"(18.296580, 54.149830)"
Dhofar 505,7266,Valid,Stony,Ordinary,L5,375,Found,2000-01-01,18.29833,54.19333,"(18.298330, 54.193330)"
Dhofar 018,6717,Valid,Stony,Achondrites,Howardite,833,Found,2000-01-01,18.30167,54.15333,"(18.301670, 54.153330)"
Dhofar 837,7583,Valid,Stony,Primitive Achondrites,Ureilite,900.1,Found,2000-01-01,18.30583,54.14967,"(18.305830, 54.149670)"
Dhofar 506,7267,Valid,Stony,Ordinary,H4,340,Found,2000-01-01,18.30833,54.17333,"(18.308330, 54.173330)"
Dhofar 138,6923,Valid,Stony,Ordinary,L6,5640,Found,2000-01-01,18.31133,54.36933,"(18.311330, 54.369330)"
Dhofar 1626,54491,Valid,Stony,Achondrites,Eucrite-an,223,Found,2006-01-01,18.3115,54.12833,"(18.311500, 54.128330)"
Dhofar 855,7601,Valid,Stony,Ordinary,LL4,196,Found,2001-01-01,18.31167,54.145,"(18.311670, 54.145000)"
Dhofar 019,6718,Valid,Stony,Achondrites,Martian (shergottite),1056,Found,2000-01-01,18.315,54.14833,"(18.315000, 54.148330)"
